PARTICIPANT,Task,SummaryFor,N. Smells,TIME_h,TIME_m,Programming_exp,Testing_exp, editDist
P18,FlexibleStringExpanderTests ,FlexibleStringExpanderTests ,2,15,0,>10 years,>10 years,192
P18,TimeDurationTests ,FlexibleStringExpanderTests ,2,18,0,>10 years,>10 years,129
P18,FlexibleMapAccessorTest,FlexibleMapAccessorTest,2,10,0,>10 years,>10 years,109
P18,UtilCacheTests ,FlexibleMapAccessorTest,2,15,0,>10 years,>10 years,261
P19,FlexibleStringExpanderTests ,TimeDurationTests ,2,30,0,5-7 years,5-7 years,134
P19,TimeDurationTests ,TimeDurationTests ,1,14,0,5-7 years,5-7 years,75
P19,FlexibleMapAccessorTest,UtilCacheTests ,1,24,0,5-7 years,5-7 years,65
P19,UtilCacheTests ,UtilCacheTests ,1,17,0,5-7 years,5-7 years,134
P20,FlexibleStringExpanderTests ,FlexibleStringExpanderTests ,2,17,0,7-10 years,7-10 years,167
P20,TimeDurationTests ,FlexibleStringExpanderTests ,1,25,0,7-10 years,7-10 years,116
P20,FlexibleMapAccessorTest,FlexibleMapAccessorTest,2,21,0,7-10 years,7-10 years,68
P20,UtilCacheTests ,FlexibleMapAccessorTest,1,19,0,7-10 years,7-10 years,57
P21,FlexibleStringExpanderTests ,FlexibleStringExpanderTests ,2,27,0,1-2 years,1-2 years,191
P21,TimeDurationTests ,FlexibleStringExpanderTests ,2,27,0,1-2 years,1-2 years,105
P21,FlexibleMapAccessorTest,FlexibleMapAccessorTest,2,19,0,1-2 years,1-2 years,87
P21,UtilCacheTests ,FlexibleMapAccessorTest,0,19,0,1-2 years,1-2 years,32
